m6A,m5C
0.096732825,0.56317675
0.176717,0.58864224
0.14387897,0.59115535
0.47733462,0.59830236
0.13985108,0.58636785
0.2535489,0.57312685
0.57350516,0.048919473
0.07017886,0.5946104
0.12277013,0.57621634
0.5147566,0.5831303
0.10565418,0.56291336
0.5760984,0.10350202
0.56567293,0.053503186
0.20030162,0.575418
0.57112926,0.07180078
0.57253736,0.07718891
0.58396935,0.09917426
0.5824816,0.10722337
0.10665422,0.57638276
0.35955518,0.5805606
0.13283099,0.5811263
0.5733004,0.04746046
0.09041887,0.56350875
0.07829129,0.5831536
0.57224345,0.080732524
0.58104694,0.30387276
0.60945356,0.2401562
0.5581201,0.4373785
0.17213786,0.57602024
0.5861948,0.10610441
0.11664385,0.5653198
0.2863254,0.57142246
0.17475145,0.5719019
0.57079136,0.09831604
0.5715906,0.07643093
0.5571602,0.4422081
0.07172048,0.57371044
0.18619771,0.5941171
0.11654018,0.57580245
0.07733733,0.5640925
0.59688276,0.29048306
0.56237936,0.061148945
0.5828291,0.16091418
0.5826029,0.08991401
0.5833118,0.13607126
0.56935626,0.18680967
0.2965834,0.5883064
0.5789524,0.060719978
0.57148224,0.069274485
0.089882076,0.5780192
0.25038418,0.57447755
0.17053339,0.57709455
0.4443618,0.5967068
0.16037524,0.58427477
0.10083363,0.56884974
0.5810974,0.09778942
0.5782833,0.10053072
0.35795373,0.5929175
0.5737319,0.25398135
0.37461847,0.5551712
0.106863044,0.5737083
0.15823941,0.5754619
0.57684225,0.047281526
0.1762025,0.5835786
0.58274204,0.33318666
0.571759,0.06156436
0.12435122,0.555166
0.14847417,0.5796349
0.566615,0.12011297
0.45319057,0.43207845
0.3907882,0.5785718
0.57543087,0.1413654
0.5792536,0.048787583
0.56258416,0.06964453
0.33135697,0.5852103
0.15673292,0.5904881
0.5718074,0.09910286
0.5828527,0.1288947
0.079541616,0.5649541
0.14416522,0.57528037
0.18055668,0.5808634
0.5786846,0.45148614
0.06465444,0.57584137
0.14439005,0.5875914
0.5769515,0.05201372
0.57994705,0.0690223
0.5715677,0.054947488
0.57458544,0.048010167
0.15903844,0.57722414
0.5723654,0.04977992
0.47016406,0.5890478
0.13920195,0.5753068
0.10474723,0.56065536
0.2136301,0.5715532
0.087522715,0.57154834
0.14564563,0.5843198
0.57387155,0.060658354
0.5683547,0.06319771
0.08198784,0.5662051
