m6A,m1A,m5C,hm5C,I,m7G,psi
4.088889e-06,0.006014404,0.011043653,0.007917342,0.0020928911,0.037928462,0.31165633
0.72215444,0.27325702,8.58198e-06,0.0018517597,0.011967778,0.0309457,0.021385273
0.00020767488,0.009635658,0.000113107904,0.02980691,0.0026042575,0.016295979,0.35990217
0.0013338762,0.011011354,4.016637e-05,0.035141192,0.005015255,0.0053260126,0.3738996
2.3545948e-05,0.02380896,0.0662827,0.006228573,0.43145674,0.2690022,0.0038216691
4.1730843e-08,0.00016985799,0.004303209,0.87517834,0.004327541,0.011095005,0.017054245
0.005418179,0.016749736,0.027345056,0.0070611774,0.54462075,0.3284966,0.0030262517
7.8378844e-07,7.548055e-05,0.42292044,0.26404712,0.0089632105,0.017926384,0.014938662
0.51631707,0.265308,2.4931423e-05,0.0016952809,0.036906127,0.03689984,0.02322345
0.00084802945,0.053252988,0.00028349741,0.06780795,0.76381344,0.1497105,0.007740038
4.0799506e-07,0.00010350107,0.477451,0.32430306,0.022497416,0.01807315,0.027712721
0.78608996,0.35071304,6.8795736e-05,0.0018695989,0.028209593,0.016080927,0.031849105
0.00012139628,0.019559741,0.0043132585,0.037027355,0.8561339,0.29840368,0.021392299
0.31127393,0.77764374,5.3336726e-06,0.002875764,0.007764304,0.029644238,0.01192562
0.00027231916,0.0001498164,0.026708513,0.8995722,0.02667458,0.03443437,0.053831972
0.00013512658,0.018167939,0.002598449,0.03206853,0.85268384,0.17393295,0.0152536845
0.0051778457,0.9827728,1.2086434e-05,0.0015174644,0.021143278,0.030174645,0.058389135
3.7952366e-06,0.00014134825,0.19466989,0.48966506,0.017044831,0.011074322,0.021792965
3.9838455e-06,0.015552866,0.011275345,0.03352559,0.8298171,0.2767856,0.016877394
0.00016643935,0.021728652,0.115576714,0.013381141,0.83141804,0.27087474,0.0057952963
0.0010200654,0.01137708,4.6261135e-05,0.011769732,0.0017181378,0.010614975,0.23465402
0.0013384317,0.03920705,0.0010763265,0.030500636,0.8643789,0.30555314,0.013710456
0.79614943,0.32092988,0.00017219254,0.0017165762,0.04083308,0.030818695,0.026540557
0.68709534,0.2718646,0.00011773146,0.0010157257,0.015411081,0.037221286,0.01718274
0.73977274,0.28101695,2.195571e-05,0.0012715795,0.017053492,0.038237367,0.017194694
5.690331e-06,0.00017008552,0.5198152,0.29823932,0.008874458,0.022274444,0.014553643
4.7853685e-08,6.588921e-05,0.70371467,0.2852076,0.026894948,0.02234619,0.030067222
0.0003506794,0.0053372555,6.1018447e-05,0.03227947,0.0056672124,0.008463559,0.5403844
0.76427925,0.31332034,3.1440897e-05,0.0019426229,0.019327138,0.0262,0.02398397
0.0017661562,0.00013491968,0.02138736,0.8834064,0.0049416604,0.0078260945,0.008062537
6.8420064e-05,0.00020428163,0.0029068924,0.91449434,0.0038770335,0.010266746,0.024050022
1.8168468e-05,0.0002917623,0.0008935954,0.9254311,0.0213372,0.010533464,0.054419838
1.0753814e-06,0.0001586456,0.6727331,0.34323373,0.034300603,0.023894897,0.031380836
4.82216e-05,0.01602193,0.082049936,0.013156377,0.84488773,0.22378778,0.010970494
2.0464846e-05,0.00020355193,0.30110133,0.32207736,0.020338837,0.0202288,0.020279786
0.756889,0.3187469,9.007663e-06,0.0016682643,0.012028617,0.030102098,0.018833445
0.030679364,0.010242698,0.0031215884,0.01250255,0.59273887,0.23915096,0.0026454271
0.0012012704,0.026185313,0.038955323,0.013823385,0.23934223,0.32976708,0.0056647602
1.5219867e-07,8.721368e-05,0.68703955,0.3073449,0.017163722,0.031056264,0.02629835
0.001925786,0.027252432,0.001054264,0.03290794,0.8721664,0.24118985,0.008867361
0.7469405,0.27052712,2.2497721e-05,0.0012560537,0.012974263,0.04647056,0.012957499
0.00024490952,0.016957285,8.2372644e-05,0.021603402,0.0076914825,0.0064201076,0.6400862
0.7653275,0.33012572,1.750246e-05,0.0015029238,0.019248175,0.03712906,0.014951327
0.2612606,0.19705987,7.90409e-05,0.0006928407,0.0048231627,0.03539006,0.010713516
0.00010522558,0.017073983,0.0028948986,0.027601788,0.8472564,0.1753954,0.012683633
0.0002263271,0.00019520064,0.008824925,0.89371675,0.012571873,0.011079264,0.023932366
3.879702e-05,0.017785387,0.00048430954,0.015852747,0.76211184,0.24609353,0.015557101
0.3266948,0.20870438,9.717684e-06,0.001366419,0.008544436,0.038065556,0.01739282
3.6548878e-05,0.009775859,0.026909096,0.0119500635,0.01776747,0.017837733,0.691829
0.011752528,0.022046931,2.241151e-05,0.029525107,0.0054924022,0.016614705,0.7359732
0.4414459,0.18287435,1.30595445e-05,0.0010034227,0.007777838,0.039089035,0.008264376
1.5065167e-05,0.012076417,0.015488765,0.011526068,0.019784465,0.018605797,0.7233698
0.0009820164,0.9816358,0.0033029637,0.0011450982,0.031202486,0.10096894,0.036946636
0.0014765608,0.97627217,5.9059224e-05,0.0013557172,0.01669891,0.0656759,0.05350802
